amount;text
6;Здравствуйте! Ищем жильё для 2 взрослых и 4 детей (8,5,4,2) в период с 29.05.2018 по 09.06.2018 года с кухней, недалёко от моря! Предложения в л/с
2;Добрый вечер! Ищем жилье на 2 человек, с 3 сентября на 7 дней.
4;Ищем жильё на 4 взрослых с 31.08.18 по 07.08.18, желательно центр
3;Здравствуйте, интересует жилье с 17.08 по 25.08 двое взрослых и девочка 14 лет.
3;"Добрый день. Ищем  комфортное жильё в Лазаревском. 
2 взрослых и Ребенок 3 года 
С 15 по 22 августа."
4;Ищем жильё в Лазаревское заезд 13 июля на 10 дней, 2 взр, дети 2 года и 5 лет, предпочтения душ, туалет, холодильник, кондиционер в номере, парковка для авто,  рассмотрим варианты, не курим
4;Здравствуйте! Интересует жилье недорого 1-10 сентября.2 взр и 2 детей-1 номер нужен.В ЛС.
2;"Здравствуйте🤗
Ищем жильё в центре рядом с морем🌊
Цена за номер до2️⃣0️⃣0️⃣0️⃣руб с удобствами 🚿
Приезжаем парой с 10 августа по 18 августа 📆"
3;Здравствуйте! Ищем жильё с 15  по 23 августа 2 взрослых 1 ребёнок 6 лет. И сколько будет по цене?
2;Сниму жилье в июне у моря 2 взрослых до 1500 в сутки
3;Добрый день! Интересует жилье с 10-20 мая. 2 взрослых 1 ребенок. В Лазаревском
4;Ищем жильё с 4.07.на 20 дней. 2 взрослых и 2 детей
1;Интересует жильё-эконом, кондиционер только чтобы был, цена с человека? Рядом с морем, +- 5-10 минут ходьбы, с 10 по 20 июля примерно! Будет только женщина. Спасибо)
5;Здравствуйте ищем жильё 3 взрослых 2 детей в Лазаревском с 13.06 по 20.06
2;Ищем не дорогое жильё на начало июля , не далеко от моря ..,на 2х
